ticker,name,sector,industry,mcap,exch
KN,Knowles Corporation,Information Technology,Electronic Components,3170022144.0,NYQ
KNF,Knife Riv Holding Co.,Materials,Construction Materials,4602169856.0,NYQ
KNOS.L,Kainos Group plc,Technology,Software - Application,1288991512.0,LSE
KNSL,"Kinsale Capital Group, Inc.",Financials,Property & Casualty Insurance,7854504960.0,NYQ
KNTK,Kinetik Holdings Inc. Class A,Energy,Oil & Gas Storage & Transportation,8077168128.0,NYQ
KNX,Knight-Swift Transportation Holdings Inc.,Industrials,Cargo Ground Transportation,12217924608.0,NYQ
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,359214252032.0,NYQ
KOP,Koppers Holdings Inc.,Materials,Commodity Chemicals,914665645.0,
KR,Kroger Company (The),Consumer Staples,Food Retail,37089669120.0,NYQ
KRC,Kilroy Realty Corporation,Real Estate,Office REITs,4508635136.0,NYQ
KRG,Kite Realty Group Trust,Real Estate,REIT - Retail,5879868928.0,NYQ
KRSP,Rice Acquisition Corporation 3 Class A,,,0.0,
KRYS,Krystal Biotech Inc.,Health Care,Biotechnology,10783989760.0,NMS
KSS,Kohl's Corporation,Consumer Discretionary,Broadline Retail,1905119882.0,
KTB,Kontoor Brands Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",4734630400.0,NYQ
KTOS,Kratos Defense & Security Solutions Inc.,Industrials,Aerospace & Defense,9036588032.0,NMS
KVUE,Kenvue Inc.,Consumer Staples,Personal Care Products,37401767936.0,NYQ
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,Real Estate Services,1521191808.0,
KWR,Quaker Houghton,Materials,Specialty Chemicals,2573186048.0,NYQ
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,23661363200.0,NYQ
L.TO,Loblaw Companies Limited,Consumer Defensive,Grocery Stores,54028672999.0,TSX
LAD,"Lithia Motors, Inc.",Consumer Cyclical,Auto & Truck Dealerships,7155097600.0,NYQ
LAND.L,Land Securities Group Plc,Real Estate,REIT - Diversified,6939654961.0,LSE
LAUR,"Laureate Education, Inc.",Consumer Defensive,Education & Training Services,5663521280.0,NMS
LBRT,Liberty Energy Inc. Class A common stock,Energy,Oil & Gas Equipment & Services,3996557824.0,NYQ
LCII,LCI Industries,Consumer Discretionary,Automotive Parts & Equipment,2457164032.0,NYQ
